Label,Class
Train2,crystallizable
Train3,crystallizable
Train7,crystallizable
Train8,crystallizable
Train9,crystallizable
Train10,crystallizable
Train11,crystallizable
Train12,crystallizable
Train13,crystallizable
Train15,crystallizable
Train18,crystallizable
Train21,crystallizable
Train22,crystallizable
Train23,crystallizable
Train24,crystallizable
Train25,crystallizable
Train28,crystallizable
Train32,crystallizable
Train33,crystallizable
Train34,crystallizable
Train36,crystallizable
Train38,crystallizable
Train39,crystallizable
Train40,crystallizable
Train42,crystallizable
Train43,crystallizable
Train44,crystallizable
Train45,crystallizable
Train46,crystallizable
Train47,crystallizable
Train48,crystallizable
Train49,crystallizable
Train50,crystallizable
Train53,crystallizable
Train54,crystallizable
Train55,crystallizable
Train56,crystallizable
Train57,crystallizable
Train58,crystallizable
Train60,non-crystallizable
Train61,crystallizable
Train62,crystallizable
Train63,crystallizable
Train64,crystallizable
Train67,crystallizable
Train68,crystallizable
Train69,crystallizable
Train72,crystallizable
Train73,non-crystallizable
Train74,crystallizable
Train75,crystallizable
Train76,crystallizable
Train77,crystallizable
Train78,crystallizable
Train80,crystallizable
Train81,crystallizable
Train82,non-crystallizable
Train83,crystallizable
Train85,crystallizable
Train86,crystallizable
Train87,crystallizable
Train88,crystallizable
Train89,crystallizable
Train90,crystallizable
Train92,crystallizable
Train93,crystallizable
Train94,crystallizable
Train96,non-crystallizable
Train97,crystallizable
Train99,crystallizable
Train100,crystallizable
Train102,crystallizable
Train103,crystallizable
Train104,crystallizable
Train105,crystallizable
Train106,crystallizable
Train107,crystallizable
Train108,crystallizable
Train109,crystallizable
Train110,crystallizable
Train111,crystallizable
Train112,crystallizable
Train113,crystallizable
Train114,crystallizable
Train116,crystallizable
Train117,crystallizable
Train118,crystallizable
Train119,crystallizable
Train120,non-crystallizable
Train121,crystallizable
Train122,crystallizable
Train123,crystallizable
Train124,crystallizable
Train125,crystallizable
Train126,crystallizable
Train127,crystallizable
Train128,crystallizable
Train129,crystallizable
Train130,crystallizable
Train131,crystallizable
Train135,crystallizable
Train137,crystallizable
Train141,crystallizable
Train142,crystallizable
Train143,crystallizable
Train144,non-crystallizable
Train145,crystallizable
Train146,crystallizable
Train147,crystallizable
Train152,crystallizable
Train157,crystallizable
Train158,crystallizable
Train159,crystallizable
Train162,crystallizable
Train163,crystallizable
Train165,crystallizable
Train170,crystallizable
Train171,crystallizable
Train175,crystallizable
Train176,crystallizable
Train177,crystallizable
Train178,crystallizable
Train179,crystallizable
Train181,crystallizable
Train185,crystallizable
Train189,crystallizable
