crystallizable,non-crystallizable,Label
-0.38000667,1.3800067,Train129
4.1021214,-3.102121,Train970
-5.853172,6.853172,Train13382
-1.8709416,2.8709416,Train7116
1.6868371,-0.6868371,Train3075
-3.8765564,4.8765564,Train7977
-4.4420342,5.4420342,Train13310
3.2706754,-2.2706754,Train3276
-3.203578,4.203578,Train16850
3.9330077,-2.9330077,Train7608
-2.5060122,3.5060122,Train14790
-0.16859233,1.1685923,Train18573
-5.132491,6.132491,Train24606
0.64296067,0.35703936,Train15327
-0.68460524,1.6846052,Train17103
2.3662164,-1.3662164,Train1041
-2.1209393,3.1209393,Train23471
-6.892428,7.892428,Train13829
-4.1163464,5.1163464,Train12496
-1.0695646,2.0695646,Train1852
3.144856,-2.144856,Train666
4.286768,-3.2867677,Train2635
-6.015142,7.015142,Train24588
-0.39765108,1.3976511,Train14678
1.4092803,-0.4092803,Train23965
-5.9343724,6.9343724,Train22227
-2.347945,3.347945,Train8511
-3.3369026,4.3369026,Train19469
3.1933813,-2.1933813,Train361
1.5774357,-0.5774358,Train768
1.2345566,-0.23455654,Train3793
-2.578603,3.578603,Train1756
2.4468942,-1.446894,Train260
-2.9257472,3.9257472,Train22784
3.0169706,-2.0169706,Train1794
-5.2598915,6.2598915,Train10742
-2.9265904,3.9265904,Train4844
-4.1281037,5.1281037,Train13252
2.0352435,-1.0352436,Train366
-0.26352215,1.2635221,Train7275
-5.382344,6.382344,Train12118
-3.680882,4.680882,Train21493
-1.3355112,2.3355112,Train7072
-2.5950406,3.5950406,Train24658
-2.8515306,3.8515306,Train19160
0.5554028,0.44459718,Train2228
-1.9866242,2.9866242,Train10364
0.41131645,0.58868355,Train729
4.35458,-3.3545797,Train2921
-5.0580196,6.0580196,Train11749
1.1427418,-0.14274183,Train730
-0.2931261,1.2931261,Train8275
-3.2045593,4.2045593,Train25153
1.4258552,-0.42585516,Train8749
-1.3141892,2.3141892,Train3920
-5.2460093,6.2460093,Train12083
-4.4545193,5.4545193,Train17343
2.2672114,-1.2672116,Train1513
1.2784233,-0.27842325,Train3832
-1.5398314,2.5398314,Train4918
-2.0321093,3.0321093,Train16327
-6.1107783,7.1107783,Train24702
-4.226203,5.226203,Train8082
0.65456086,0.34543914,Train14912
-2.377611,3.377611,Train15402
0.6492742,0.35072583,Train24443
-5.402095,6.402095,Train13874
-3.7814498,4.78145,Train16211
-3.3818946,4.3818946,Train16172
-6.518388,7.518388,Train12297
-4.8907146,5.8907146,Train7535
3.3671231,-2.3671231,Train216
-2.5536478,3.5536478,Train3352
-5.552029,6.552029,Train13873
-1.9537604,2.9537604,Train3754
-2.2855592,3.2855592,Train5540
-0.033180118,1.0331801,Train5174
-1.5840116,2.5840116,Train18072
-3.3517232,4.351723,Train5070
-4.650029,5.650029,Train21065
-0.031201124,1.0312011,Train4370
0.4962417,0.5037583,Train16801
-1.4617682,2.4617682,Train23305
-2.466546,3.466546,Train14973
-1.2998941,2.299894,Train14703
3.1921158,-2.1921158,Train518
1.7172328,-0.7172328,Train6983
-4.82561,5.82561,Train11956
-1.8952701,2.89527,Train16410
-0.88551986,1.8855199,Train3113
-3.0217476,4.0217476,Train21262
-5.0217333,6.0217333,Train24621
-4.272985,5.272985,Train13150
-2.4639542,3.4639542,Train8231
0.13209826,0.86790174,Train16305
-4.3752155,5.3752155,Train19492
-0.9629946,1.9629946,Train3470
-4.540242,5.540242,Train21873
-3.2633529,4.263353,Train7987
-2.730242,3.730242,Train17950
-3.989377,4.989377,Train14577
-4.432549,5.432549,Train18285
-3.7806501,4.78065,Train11566
0.9088076,0.09119242,Train3604
-1.0319321,2.031932,Train5874
-1.8581173,2.8581173,Train5394
0.6657293,0.33427072,Train638
-0.26243663,1.2624366,Train442
-4.669087,5.669087,Train25826
-0.8584976,1.8584976,Train22848
3.2807996,-2.2807996,Train2550
-1.4292111,2.4292111,Train4013
-1.4269509,2.426951,Train20640
-2.2179818,3.2179818,Train17199
-0.91835415,1.9183542,Train6021
-1.0544388,2.0544388,Train5508
1.2552865,-0.2552865,Train1669
-5.621274,6.621274,Train22895
1.9230468,-0.9230468,Train4451
-1.6487529,2.648753,Train18323
-4.7351604,5.7351604,Train25720
-0.16246891,1.1624689,Train7234
1.2655114,-0.26551136,Train6971
-5.2453847,6.2453847,Train8022
1.7618729,-0.7618729,Train510
1.7779402,-0.77794015,Train9032
-2.7040844,3.7040844,Train25475
-0.37263095,1.372631,Train14863
-1.8174937,2.8174937,Train434
1.3998275,-0.39982745,Train4131
-3.9703727,4.9703727,Train23480
1.5670695,-0.5670696,Train2467
0.36140168,0.6385983,Train3851
-5.2834787,6.2834787,Train24802
-1.822725,2.822725,Train9238
-2.764278,3.764278,Train8009
2.0043159,-1.004316,Train205
4.100301,-3.1003006,Train2692
-5.113619,6.113619,Train11778
2.5414271,-1.5414271,Train9605
2.8450017,-1.8450016,Train14676
-2.5521991,3.5521991,Train16320
-3.6282353,4.6282353,Train13282
0.6120034,0.3879966,Train15212
-0.31799138,1.3179914,Train8937
3.5172658,-2.5172658,Train23122
-5.0383716,6.0383716,Train14281
1.1796185,-0.1796185,Train7902
-6.1566887,7.1566887,Train6921
2.2512467,-1.2512467,Train1428
1.2201784,-0.2201784,Train9076
-1.1482642,2.1482642,Train9172
-0.5977247,1.5977247,Train5278
-2.5569725,3.5569725,Train23911
0.12366569,0.8763343,Train3331
0.40286767,0.5971323,Train9343
-4.2825985,5.2825985,Train13649
0.9047841,0.09521595,Train68
-0.26826262,1.2682626,Train1538
3.926621,-2.926621,Train3094
-1.4742503,2.4742503,Train18430
